Q9BPZ3 P08574
Q68CZ1 Q96G97
Q8N5M1 Q5TCZ1
Q00610 P53355
Q7L0Q8 Q9BYN8
Q9H4M7 Q8WWW8
Q9Y2J4 Q96JH7
Q9UL15 Q16518
Q96JQ2 Q13418
Q9UER7 O14578
P61964 Q969U6
Q15311 Q15393
Q86VM9 Q9P2W9
Q676U5 O00231
P61978 Q6P1N0
P25205 Q9UK41
Q9Y297 Q9Y4K3
Q14318 Q9NQW6
P23246 Q93034
Q9BRS2 Q9H6S0
Q5VT97 Q9BZD4
Q92945 Q9BW83
P07948 Q99685
Q5TC12 Q8WVV4
O95816 Q9NRK6
O00515 Q14974
Q9HCE7 P20618
Q96CV9 Q86VQ0
Q9Y446 Q9NQT8
Q01105 Q96T17
Q8N5M1 Q86U42
Q13315 P54252
P12956 Q9HB96
Q7Z6Z7 P40763
Q15287 Q9NRI5
O14893 Q8NEY4
Q9NRI5 Q9UJU6
O94850 Q9H3P7
Q32NC0 Q8NE79
Q16659 Q9Y3D9
O00443 O75323
Q13620 P84098
Q9HCU5 A7KAX9
Q96PD4 P09543
P19338 P53350
Q8WW24 Q15025
P04792 Q9HC77
Q13310 A8MTA8
Q07912 Q8NBU5
P02545 Q9GZS1
Q9BVP2 Q9Y6I3
P17980 Q5HY92
Q8N122 Q9BRK4
P43405 O43795
Q86VQ0 Q0D2I5
P08621 O15212
O75787 Q9Y230
Q9NT22 O00212
Q9P219 O75154
O14907 O43776
P38398 Q05655
Q9H4M7 Q8WTP8
Q8N5G2 Q14194
P51572 O43164
P57105 P08708
Q9P0K7 Q13620
Q99759 Q6P3W7
Q13794 Q9H497
P13569 P61758
Q9BYN8 Q6ZU80
Q6UXN9 Q96EA4
Q7L190 Q9BYN0
Q6ZU80 Q5VWJ9
Q9BWF3 Q12986
Q4G0J3 Q9BV73
O43482 Q9BX66
P46937 Q96QT4
Q9H4M7 Q8N5M1
P49406 Q15025
P55072 Q9NX55
Q8TEB7 P08621
Q9Y3D6 P42858
P36543 Q99759
Q9BQA1 Q13627
Q9H6D7 Q9BZF1
Q6AWC2 P28070
Q13523 P40763
P25789 P57078
Q69YN4 O95336
Q16836 P04843
Q96LI9 Q86UR1
Q9Y3C5 Q7Z736
Q5T7N2 Q5XPI4
Q9H5N1 Q9GZV5
Q9Y230 P10515
P42696 P61011
Q08170 P50897
Q9Y297 Q9Y3F4
Q05655 Q12770
Q6W2J9 Q9NWS6
Q9NQL9 Q06945
P49736 O95352
Q8WUZ0 Q5T5U3
Q8WUA2 Q13425
Q9BTX1 O94868
Q9H792 P42336
P62314 Q9H4M7
O75146 P46940
P13569 P15735
Q16566 Q14194
Q9NPG2 Q9BXW6
P49137 Q15007
Q8NFJ9 Q96I25
Q6ZNL6 A0PK00
O00232 Q9UHV9
P62995 Q9P0K7
P51572 Q9Y2J4
Q9NNW5 O60716
P46100 Q15907
O00443 Q14203
Q9H115 P29323
P25205 Q13873
P78362 P98175
O95816 Q9NXD2
Q9BUB5 Q13835
Q9UHD2 P18206
Q07666 Q9P2S5
P51572 P60174
O14979 Q8WXH2
P31943 Q17RD7
Q9BYG3 Q9UHD2
Q5BJF6 Q7L2Z9
P51813 Q9H4M7
Q9UKE5 P61758
Q9BYF1 P11177
P46778 O95159
Q4VCS5 Q9UN19
Q14318 P17480
A6NCQ9 Q96MF2
Q9BYZ6 P42773
P35251 Q13620
Q9NUW8 Q9C0F1
O60341 Q9Y4D1
Q71F56 Q13617
P42696 Q15118
Q9Y5S9 Q12846
Q9P219 P38432
Q6ZRI8 Q86YR7
P62258 Q9BYD3
Q0VG06 Q16576
Q9Y383 Q92769
P04843 Q13310
O95758 Q9HD67
Q9Y3C5 O00257
P51948 P22061
O96033 O94986
Q15149 Q15051
Q14258 Q96AC6
O94988 O43678
Q16531 P52298
P01375 P40939
O95714 P98082
Q8N9T8 Q14680
Q02241 Q13131
P12956 Q13310
P24539 O14745
P52272 Q9Y255
O00560 Q9ULT8
Q7Z4K8 Q8IZL9
Q9Y3C5 P54198
Q96GA3 Q07864
Q676U5 Q92614
O43663 Q6P3W7
P10636 P42345
Q9UDY2 P46108
Q9BSJ2 Q02880
Q13616 Q3SY00
Q9UGJ1 Q9P2D0
Q15029 Q8IWJ2
Q9H270 Q14457
Q3SY00 Q15276
Q15054 Q66GS9
Q9P258 P79522
Q9UN19 Q92878
P32970 O43347
O14526 Q13724
Q96G01 O14777
Q9NQT8 Q9Y4K3
Q12849 Q96DX4
Q96GF1 Q9H3P7
Q8NCN4 P38935
Q9UNE7 Q9NW64
Q96H55 Q9UHB9
Q6IA86 Q9UNK0
Q16576 P56537
Q9BYT3 P43405
Q9NRC1 Q13163
O75031 O43318
Q96MY7 Q5T4D3
Q9BST9 Q13137
Q52WX2 O14773
A4D1E9 Q9ULR0
Q9Y5K6 Q14677
Q96DI7 Q05519
Q15058 P56962
P04629 Q5XPI4
Q9BYN8 Q96PK6
Q99558 Q08379
Q9GZT3 P14373
P35250 Q3B820
Q13263 Q6ZMZ3
P32929 P78527
Q8N6Y0 Q96G30
P43405 Q15645
Q92574 P68400
Q14671 Q15393
Q8IXZ2 Q96G01
Q86UY6 Q8N4C6
Q92918 Q7Z2K8
P62753 P12755
Q9NXN4 Q6P4R8
Q96R06 P27708
Q15029 Q13049
Q15118 O43283
P46108 P46199
P38398 Q92870
Q9NQG5 Q13435
Q8WUM4 Q13546
P43243 Q5THJ4
Q07065 P43243
Q7Z6Z7 Q6SJ93
Q9BSM1 O00559
O00628 Q9BRK4
P14866 Q9NTI5
Q96BU1 Q14CB8
P61964 Q14999
P19174 Q8ND24
Q8N6H7 Q9HB71
P02545 P45973
Q9UPQ9 Q6PKG0
Q9BZH6 Q6PKG0
Q9H4M7 Q8NFH3
Q7Z419 P09874
Q8TCG1 Q9NTI5
Q9P2E9 P40926
Q8TAP6 O75663
Q9BWF3 Q9UK22
Q9H4P4 Q9BRX2
Q8N465 Q969V5
O75323 O15550
Q15669 Q96TC7
Q86XN8 O76064
O95503 Q9UHR4
Q9UI12 Q14498
P19525 P38398
Q9NVI1 Q9NYB9
Q12986 Q9H6X5
O00459 P11498
O75031 Q14258
O76027 Q14498
P11274 P35240
Q96CS2 Q9HCE1
Q15773 Q96RG2
Q92597 O60674
Q99700 Q7Z6Z7
Q8TEW0 Q9H892
Q08170 Q9UHV9
O43379 Q3SX64
Q7Z3B4 Q9NNW5
P33316 Q99728
Q86VW0 Q12899
Q9NTI5 O75665
Q9H270 Q8TBB1
Q96E11 Q13873
O43542 Q14BN4
O43379 Q4G0J3
Q9BVS4 P57740
O94906 P06213
Q5SW79 Q96RK0
P11362 Q92597
Q15058 Q8WVL7
Q92624 Q9Y4Z0
P42338 O14929
Q92878 P14868
P36957 P12270
O43752 Q8IYE1
P05783 Q7Z3B4
O95235 P62191
Q5JR59 Q92624
O14776 Q15311
O75925 P33993
Q96AJ1 Q96BD5
Q969L4 O75558
Q16288 Q9BTW9
Q9NTX7 Q16864
P55209 Q05655
Q96PK6 Q16531
Q92541 P26651
P00540 Q92870
Q99558 Q9BWT6
Q96LD4 P08581
Q9NZN5 Q96GA3
Q13114 P25705
O60610 Q92567
Q9Y3C5 Q9Y2X7
Q96M32 Q13263
P61962 P14678
Q9NUG6 Q14247
Q13825 Q5S007
P46821 Q15811
O43175 P50402
P30085 A5D8V6
Q99996 Q9BW83
Q9BXW9 Q14642
P08621 Q9NNX1
O95714 Q96DX4
Q13009 Q8WXW3
Q9NS56 Q9BXG8
Q6NVY1 P58546
O95704 Q9BXY8
Q96PV0 Q9NW82
O75031 Q99704
P07196 Q9NZ43
Q5JSH3 P06753
Q14966 P56945
Q9NRI5 Q96JH7
P49454 P60033
Q9UQC2 P20290
Q14258 O14578
P08574 Q9UHD8
Q8TDM6 O14744
P26368 Q96JN8
O43929 Q5BJF6
O15524 Q9NPF5
Q9H4M7 A2VDJ0
O43543 Q9NV06
Q5SW79 P34947
O94915 Q16543
P43307 Q9UJA3
Q9H4L7 O60437
Q13242 P62314
Q96SN8 Q9P1A2
P04629 O43663
O43402 P23508
Q13620 Q13131
Q99623 Q92597
Q9BZF3 P07910
Q07157 Q96PK6
Q9H4M7 P78318
Q9UBE8 P55010
P46934 Q92878
Q92667 Q9Y6K9
P05783 Q5T9A4
Q99615 Q9BX66
P04843 Q2TAY7
Q9HBD1 P53999
Q9UM73 O43318
P36406 P62875
Q9HAU5 Q9Y2T2
Q9Y6J0 P60468
O14730 Q14258
Q9ULJ8 Q9H2G9
O75323 Q92828
Q6ZRY4 Q27J81
P19174 Q9Y2A7
Q66GS9 Q8TEH3
P49736 Q9Y2T2
Q8IV32 O43818
Q9BRX9 P50402
Q9UEU0 Q9UBU8
Q13501 P55209
P46100 Q96ST3
P61421 Q9BYV6
Q6P2Q9 Q8TB24
P61966 Q0D2I5
O95661 Q15154
Q6P1K2 Q9NZN9
O76094 P51532
Q6WKZ4 Q6ZMZ3
Q13637 Q14999
Q09019 O43639
Q8N5R6 Q15149
Q15118 O95479
O00154 Q9H8Y8
Q9Y383 P50583
Q9ULR0 Q9GZS1
Q96IZ0 Q9C0C2
Q9C0C2 Q96EH3
Q13625 O75925
Q86UR1 Q92769
O75934 O43639
Q96A44 Q8WUY9
Q8TDM6 P54257
Q5RL73 Q9H4M7
P78362 Q96F07
O43172 P57075
Q5TCQ9 P28072
Q8TCU6 Q9Y6E0
O95835 Q13617
Q9BZV1 Q9UL15
Q15058 Q9NUJ7
Q6P1J6 Q8WWI1
Q9BXM7 Q8TB24
P55196 Q86VM9
O15143 Q6P996
Q86YT6 P31948
Q96K80 Q76N32
O75787 Q14258
P62995 Q13191
P11532 Q69YN4
Q9H8V3 Q96A49
P22314 Q16543
Q8TDY2 Q9NQY0
P06213 Q01081
Q01844 O95140
Q15147 P56945
P52735 Q5XPI4
Q5THJ4 Q96A33
Q96T58 Q8N6M8
Q9HCE1 P41732
Q14642 O95235
Q9UPS8 Q5VV67
O43151 O14777
P35222 P09012
Q9BT92 Q05048
O94826 Q96EP5
Q15528 Q8TAD8
O15169 Q00341
O75323 Q9H000
Q96MH6 Q5TCQ9
Q9UBW8 Q9BYN8
Q16531 O95487
Q2M329 P49754
Q9ULH0 O95758
P48736 O75400
Q15758 Q9NYY3
O14777 Q9Y5M8
P31483 P09874
O14929 Q9Y2U8
Q13435 Q14596
P62318 Q8IUD2
Q9HD26 O60341
O75553 Q9NV92
Q8N983 Q8N6T3
P83369 Q96G01
P25098 Q96G25
O15155 O43818
P22061 Q04637
Q15118 Q13033
O75694 Q5VST9
P62316 Q8IXS6
Q13501 Q8N5H7
Q9UJX2 P51957
P12270 O43809
Q9H0A0 P60174
Q9UHA4 O75031
O60674 Q3KP44
Q18PE1 O14578
Q70UQ0 O14965
P42858 Q9H672
P56945 Q08AD1
Q9NQL2 Q13263
Q01844 P30414
Q02241 Q9NXC5
O43683 Q9NW61
Q9BV73 Q8IYQ7
P12755 Q9BXL7
P34947 P61978
Q9Y6K9 P53999
Q13242 O95714
Q15029 Q15154
Q9BQD3 Q9H9L4
O94992 O15360
O75616 Q9NQS7
Q8WUA4 Q10589
O60637 O95376
Q7L591 Q69YN4
O43747 Q6P2Q9
Q8WVM8 O60566
Q15006 Q07666
O60858 Q8TBK6
P61978 Q15154
Q7Z2W4 O94927
Q9UK41 Q9BYM8
Q99471 P35240
O60930 Q9UJY1
P07332 Q16543
Q9H4M7 Q8WVC6
Q9H0H0 Q99959
O43310 Q8N1B4
P36542 Q01804
Q9P2E9 O60551
O75934 Q8N4C6
P04629 Q9HAD4
P52272 Q9Y6I3
P20618 Q13554
O14641 Q02241
Q08379 Q86UY6
Q15029 Q96FV2
O94992 P61221
O43399 Q14203
Q96AC1 O75570
Q10567 Q6ZW49
P06733 Q96RQ1
Q7Z2W4 Q96MF7
P78527 Q9Y5K6
P62191 O43663
Q9HCE7 Q4G0J3
Q9BQC3 Q8IWU2
Q5JR59 Q8NFF5
Q9HC77 O75794
Q12965 P55196
Q9ULH0 Q86UY6
Q14671 P02545
Q6PJG6 Q9HCM9
Q8NEN9 Q96RK0
Q13637 Q68DV7
Q13009 Q9BXW9
Q9NRD5 Q5T9S5
Q9Y4K3 P22314
O14776 Q8WXE9
O95352 Q9H8V3
P53621 Q9BSK4
Q5HYK7 Q8WYQ5
P42696 Q9BTX1
Q14258 Q8NEZ2
Q99436 Q15080
P43403 O75528
P07948 P40939
Q96CS2 Q9HD15
Q9BZE1 P11362
Q9H5K3 P17600
Q6WKZ4 O95487
P40926 Q9BZF9
Q6IQ23 Q6ZW49
Q8NAA4 Q8WU79
Q9Y5X1 Q13637
Q9NPJ6 Q9NS87
P27816 P26368
O95816 P20936
Q9BW71 Q6RW13
P30273 P78362
Q8TDM6 P19174
P33992 Q15311
Q14966 Q6PUV4
Q8IV36 P68400
P13569 P56945
P35250 O75179
Q07889 Q15291
Q9H4B6 Q14684
P41252 P28072
Q13395 O94874
P33992 O60333
Q15758 O00116
P02656 P36507
Q08379 Q6PD62
Q9UPT5 P12956
Q9Y3M2 P34897
Q15036 P08621
Q13618 O15357
Q96I25 Q92769
O94827 Q9H4M7
P40763 P35249
Q6ZMZ3 Q9UNY4
P46937 Q8WV22
Q9UGU5 P06753
O75521 Q8N3E9
Q9NRI5 P49915
Q5JR59 P03950
P42345 P49757
P21673 P13569
Q86TM6 P41743
Q8IXM3 Q6WKZ4
Q8WYA0 P27708
P02489 O00559
Q92625 O95758
P62314 Q96R06
P09874 Q8TB24
Q9H422 Q9HD26
Q9BYG4 P35658
P13569 P02489
Q15058 Q9H4I3
Q9GZM8 P56537
Q13216 P05387
O60496 Q9H2G2
Q9UN86 Q9UM73
Q9C0B0 O14681
P55072 Q17RB8
Q14254 Q9H4A3
P09972 Q96RK0
Q9UHD8 P26440
P02774 Q14999
Q9UHD8 O43924
P62995 Q9UHR4
Q14244 P09543
Q9Y4I1 Q13435
O00203 Q9BW66
Q9UK22 Q99959
Q9Y4X5 O60306
P51157 P04629
O15020 P30260
Q9Y230 O14893
P48029 Q9UEU0
O75521 Q969K3
Q14318 Q9UNE7
P60174 Q15811
P35251 Q9C0C2
O00217 P26368
P12004 O94927
O75400 Q12955
Q03113 P51149
Q7Z2W9 O94927
Q9UII2 Q13148
Q4VCS5 O00231
O60341 Q8IXM3
Q8WVV9 P30084
P60900 Q9H2G2
Q9UER7 Q9UMS4
Q13615 P83436
O94979 Q6ZU80
Q9Y230 Q7Z3T8
Q00613 Q9H967
O43663 O43719
Q96DI7 Q9BV68
O43463 O94864
Q9P246 Q8NFZ5
Q13627 Q9Y6I3
Q13263 Q15025
P19419 Q15058
Q00987 Q96KQ4
P61964 Q92870
P09012 Q9UNK0
Q9BRS2 Q6ZW31
P25205 P31943
Q8IWX8 Q9Y291
O14579 Q8IXQ6
Q08378 Q9NNW5
Q9NRI5 Q9UPV9
Q05519 Q8TEK3
O15085 Q96CV9
Q9NVK5 P12004
Q8NFZ5 O43175
Q8NHQ1 P49454
Q9H6R6 Q9NTZ6
P22314 Q99816
Q01970 O95295
Q04637 P35240
Q9HCE7 Q8NEN9
Q96BP3 Q8NHP8
Q9P2D3 O14578
P34947 P52757
Q9BSM1 Q6P4I2
Q9H089 Q14005
Q9UH99 Q99615
O95140 Q9Y4W6
Q13347 Q92614
Q9Y3M2 O75182
P05129 Q9UQE7
Q14565 Q9Y366
P30622 Q13501
Q9BXW9 Q53HI1
P98179 Q13310
Q15006 Q9UPA5
O14744 Q8TF42
Q9P2K8 Q9P2A4
O15155 Q8IYJ3
Q9H4M7 P35568
Q96LD4 Q14134
O14641 Q8WVV4
Q9GZT3 Q6PJG6
Q14511 P10636
Q16659 P82094
Q9BQS8 O14777
Q8N5D0 Q8IYB1
Q9ULD2 P36957
O14964 O43312
Q13148 Q9NR56
Q2KHN1 Q12986
Q92887 Q9NPJ6
P24001 P53667
Q9Y3C5 P25788
Q14151 Q96RL7
Q9UNM6 P11182
Q96RU3 Q15058
Q17RY0 P62314
Q9BV73 P08962
Q5TZA2 P60468
P46199 Q92734
P13569 Q7Z5B4
Q9C0C7 P38398
P56545 Q9Y4J8
O75334 Q16401
O43166 Q63HN8
Q460N5 O43175
P51617 O75934
Q8N5U6 Q9H1A3
Q6I9Y2 Q8WTW4
Q6W2J9 O60285
Q5VYK3 Q9UBC2
O75400 Q07065
P40939 Q8TCU6
Q9NZN5 Q8NFF5
Q99972 P68400
Q69YN4 Q9NQP4
O94826 Q9BTX1
Q96GA3 Q9UPV9
Q9UNE7 Q2TAY7
P31943 Q8N3L3
Q07157 P12755
Q9ULJ7 Q9H4M7
Q9H9B1 Q9UL25
Q96A37 Q9HCD6
Q9Y383 Q12965
Q8IWA0 Q8WX92
O95071 Q96PM5
P28070 Q14203
Q8NC56 P35222
Q96J01 Q9NV06
O14654 O43776
Q14669 Q86XZ4
Q6ZNL6 Q9H4B6
Q9UHD2 P36542
A4D1E9 O75925
O15213 P60228
O43482 Q01804
P50570 O15381
P14866 Q8NEH6
Q69YN4 Q9NVR5
Q96HA4 Q09428
Q9BXW9 Q9UN86
Q9NNX1 O00257
Q14566 P43243
Q9UJY4 Q676U5
Q9HBD1 Q14155
Q6PHR2 Q8N960
Q504Q3 P52948
Q5T481 P62826
Q92797 Q96EA4
Q15058 Q13191
Q12959 Q9NS91
Q86UK0 Q9UPS8
Q8WXH2 P18206
Q9BYN8 Q14669
A0FGR8 Q6NXE6
Q16666 Q96SB8
Q9UKG1 Q8WYQ5
P46934 Q5QJE6
P31483 Q15058
Q9NRA8 P19838
O95503 O00212
Q8IUH5 Q676U5
Q86UD0 P42566
Q96SN8 P56945
Q96E11 P51957
Q9P0L0 Q9H4P4
O60610 P05455
P78362 Q5VT52
Q69YN4 Q7L0Q8
P15735 P07910
Q13099 Q9NQW6
Q14C86 Q9Y572
Q8TB24 Q01844
Q9Y4W6 Q86TB9
P35227 Q00987
P07949 O75330
Q8N8S7 Q9P1Y6
P62873 Q13616
Q6ZNE5 O75934
P52732 Q96JB5
Q9UQ80 Q99816
Q9UBF8 Q9Y223
O43719 Q8WTW4
P19338 O94925
P23588 Q14692
O15294 Q9UBT7
P31751 Q01844
P47712 Q9P2R3
Q9NV58 Q8IZW8
Q9H267 Q86VM9
Q9UGU5 Q16659
Q9H773 P29323
Q9P2E9 Q96RU3
P78317 Q13023
Q6Q0C0 Q13546
Q9HCE1 Q9HCU5
P26572 O60306
P49792 P42858
P37198 Q63HN8
Q9BV73 P51948
O95487 O75410
Q8N4C6 Q8TBF4
Q96M89 P38432
P11177 Q3SY00
Q8N6M8 Q9HC52
P42338 P47756
O75083 Q13769
Q70UQ0 P98175
Q6P2Q9 P60033
Q14999 Q504Q3
Q9UKL3 Q15058
Q69YN4 P47813
Q00059 P07948
O95714 O75962
O95235 O43318
Q8TF76 Q8NHP8
Q9H0A0 Q13112
Q14254 Q9BT25
P61916 Q15029
Q8N157 P05455
Q9Y282 Q9UBB6
P36639 Q13480
Q9UJW9 O95140
A1L390 O95900
Q9BSI4 Q13627
O43303 P19838
P49721 Q08AD1
Q9UGI0 Q12899
Q9BYT8 Q96EP0
Q9BYF1 O95235
Q8N9T8 Q92615
Q14008 Q96QC0
O00459 O95782
Q9HB71 P14324
P07948 Q8WW34
Q9NZN5 Q9NWB7
O15357 Q99759
O60645 P31943
Q9UPV9 Q14498
Q8N488 O95295
O14862 Q99807
Q96CW1 Q5SW79
O43593 P02545
P05387 Q9UJC3
Q13875 Q9GZT8
O60496 P50570
O14777 Q9BUB5
Q9Y4H2 P62304
Q8TCJ0 Q8N7W2
Q9NPE2 O75494
Q13637 Q9NRC1
Q92769 Q9BTE6
P56962 O96033
P46821 Q8IX03
Q9BVP2 Q96F07
Q9UL54 Q9P2E9
O95714 O95159
Q9Y2X0 Q14258
O43933 Q9UKE5
Q9UJC3 Q13310
Q6NTF9 Q96R06
Q155Q3 P04114
P48736 O43684
P33993 Q9HCD6
Q9H981 Q9BV68
P57768 Q9H0Y0
Q6PUV4 Q14203
Q14691 O43933
Q96H55 Q05655
Q9BXM7 Q86X02
Q9NXF1 Q8IY63
P42704 Q7L3B6
Q9P258 O95503
Q9H0H5 O14776
Q08379 Q5U5X0
Q5XPI4 Q5QJE6
O95235 Q14258
Q00987 O94979
P18206 Q5VZ89
Q9P2R3 Q9UBW8
Q9NQL9 P78317
O94874 Q9UHA4
P08962 Q00653
Q9P270 A7KAX9
Q9NZQ3 Q9NZJ4
P50548 Q9Y5S9
Q9UJZ1 P32754
Q4G0J3 Q9Y3Z3
Q9P2E8 O14746
P68400 Q9Y4I1
P38606 Q96QZ7
Q9Y4I1 Q5SW96
Q9NZ43 Q8N6T3
Q7Z6Z7 Q96TA2
Q12849 Q69YQ0
Q12981 P48736
P0CG38 Q14254
P18206 P31943
P61978 Q86XN8
Q8NCN4 P62258
O15049 P36957
Q9Y2L1 Q9Y3T9
Q6P2Q9 P61289
P46937 O00559
Q99816 Q9Y4P8
Q9NQB0 O14544
Q13523 Q9UQL6
Q969G3 Q16671
Q9Y230 Q9P2P6
Q9NR56 P02545
Q9BQG1 Q9NZQ3
Q9Y2X7 P28370
Q96Q89 Q9H1Z9
Q6UVJ0 Q14318
Q8NFZ5 Q9UL46
O75530 Q12955
Q5FWF4 P31943
P33981 Q8TEB1
P46937 Q9BQA1
P46108 Q14258
Q66K74 Q14318
P30154 P40939
Q9C0B1 Q9UK00
Q12846 Q9UBK9
Q00987 Q9UK99
Q8N8U2 Q03933
Q14005 Q00610
O15143 Q96EP0
P04629 Q03001
Q9UK00 P38432
Q9Y4P3 O95295
Q92615 Q14687
O00232 P46199
Q5T7B8 Q13617
O95817 Q15006
P49736 Q02241
Q86UU1 Q16186
A5PKW4 Q9HCE7
Q5SW79 P46940
Q9UKV3 P25098
P22314 Q9UJA3
P36957 Q8TEW0
Q8NDV7 Q9Y227
O95235 Q99704
Q9Y6Q5 Q8WXQ3
P55209 Q15149
P13569 Q9Y345
Q9H089 Q9GZT8
Q15555 O60333
P25054 O14578
Q9Y4K3 O95872
P50613 O15040
Q9H2J7 P02768
Q9BVN2 Q8WV28
P35222 Q9UPT5
Q76N89 Q9C0E8
Q99683 Q9H7D7
Q9Y6H1 O14657
Q8WV22 Q92636
P07948 Q13148
O43818 Q92574
O96008 P13569
P08581 P53350
Q6ZW31 P20290
Q6DKK2 Q9HBD1
O95817 Q5VSY0
Q8N3Z3 Q92925
O15078 P43405
Q9H1D0 P41743
P57775 O14964
Q8N5V2 Q9NVV2
P25705 Q96MA1
Q7L591 Q5W5X9
P18206 Q02790
O95248 P56945
O95071 P46108
Q8NFZ5 P21860
P09496 P26368
O00231 Q9BYN8
P78318 Q9Y3F4
Q07666 P18206
Q15058 Q9NRI5
Q9NYJ8 Q13112
Q9H8V3 Q9H4A3
P36776 Q13627
O43318 Q06587
P35222 Q8TB45
Q9UBD5 P11532
O95352 Q9UKT8
Q15025 Q8WWI1
Q86SE9 P34897
Q08945 Q9NZJ5
P14866 Q6N021
A5D8V6 Q969G3
P56537 Q9HCJ0
O95295 Q14498
Q13242 Q13164
Q86UW9 P56545
Q6P2E9 Q99816
P05187 P07196
O75127 Q9H788
Q8N6Y0 Q10567
Q08AE8 Q96HW7
A7E2F4 Q8N5M1
Q01804 Q9UM73
P56537 P36639
P48736 P13569
Q9HCN4 Q9UKL3
Q6IQ23 Q13007
Q15311 Q9UJX2
Q9BW27 Q8N0U7
Q15050 Q9Y6A5
Q96LK0 Q92769
Q5T8D3 P55884
O95751 Q9BZR9
Q86VP1 Q9BYV6
Q14244 Q7Z2W4
Q5SQN1 Q99567
Q5VT06 Q96PU8
Q5VV42 Q05519
Q9UHB9 P26368
P51116 Q5T2W1
Q9H9L4 Q9H9E3
P53990 Q15637
P13569 P07099
O95900 Q96AJ1
Q9BSI4 Q9UM54
Q6ZVF9 Q9HC98
Q08AD1 Q6AI12
P04792 Q9BWG6
P61978 Q15311
Q9H6S0 Q8N4C6
Q13625 Q9NV06
Q9UER7 Q8NFH8
Q8WU17 Q9UI08
Q15393 Q6P3X3
P53350 Q9BT17
Q9H254 Q13618
Q71SY5 P21860
Q86US8 P62316
Q92541 Q9NYZ3
Q9BZD4 O00203
Q9NRD5 Q9P0V3
Q12981 Q14643
O95071 O43175
P42356 P08559
Q14999 Q86YN6
Q9UJZ1 Q92974
Q9UIM3 Q70UQ0
Q9P265 Q8TEW0
Q9H6S0 A7KAX9
Q9P2W9 Q6IQ23
P79522 O95478
Q53GL0 Q49A88
Q12955 Q13114
O14908 Q9Y5S9
Q8IWZ5 Q9NRC1
O75155 Q9NRW7
Q9NVJ2 Q9NVC6
P17931 P24928
Q9BYN8 P33993
Q96D59 Q99417
Q12986 P40925
Q69YN4 Q96LB3
P55884 O43639
Q5EBL8 Q86YT6
Q9P2E3 O15016
Q00537 Q9ULD6
A1L4K1 Q9H0U9
P09874 P20618
Q12981 Q86VM9
Q8IV01 Q14847
O75665 Q8NE31
Q14596 P30273
Q4VCS5 P06733
Q9BZJ0 Q9ULW0
Q5H9R4 Q9BXW9
Q99471 Q2M1P5
P07948 Q9HB07
O15260 O43196
Q96P48 Q15029
Q01844 Q86TW2
Q9P227 P30084
O43463 Q66LE6
Q08345 Q86U42
Q9NQW6 O43752
Q9BVN2 Q9HD33
Q14258 Q8N9E0
Q13418 Q96PU8
Q9HCM3 P43405
Q01804 Q14684
Q9Y3Q8 O00116
P49757 Q01081
Q96AX1 Q68DK2
P14866 P55735
P27708 Q66GS9
O94992 Q9P2A4
Q8WXE9 P62873
Q8WWI1 Q13315
Q86U86 P42566
Q9UJU6 P38398
Q969T3 Q92624
P07948 Q7Z7L1
Q9NQW6 Q9BRD0
Q02241 Q69YQ0
Q10567 Q18PE1
P46934 Q8NE71
Q9UM54 O75832
Q14596 Q969X5
P17948 O15047
O00257 P56537
O43567 O15018
Q5JR59 Q9GZT8
P53803 P15056
Q15075 P51572
Q8N302 A0FGR8
P58107 P14866
Q9NPE2 P98082
Q13064 P40763
O60437 Q8IUH3
Q8WZ64 Q96PX1
P49736 O95503
Q5VYK3 Q13620
P55735 Q9BT92
Q9BRS2 Q8NEM0
P54198 P48736
Q5T5P2 Q9Y6K9
P62258 Q9Y295
Q9HC98 P62826
P13569 Q96PY5
Q9H1I8 Q9Y4K3
Q6PIJ6 O43663
Q9Y2U8 O76071
P68400 Q9H0W8
Q8NFZ5 Q92973
Q7Z6J0 Q96TC7
O95153 Q9BYE7
Q15058 Q9GZR2
Q99816 Q15040
Q15021 Q13131
P20618 Q15058
Q7LGA3 Q3B820
P62306 Q76MJ5
Q6W2J9 Q13617
Q02880 P36776
Q8N4S9 Q8N488
Q15058 P08581
Q96DB5 Q9BYV6
Q8TD19 Q15653
O15066 P50570
O43264 Q9NP58
Q96H55 Q9GZL7
O00154 Q6ZR37
Q9Y2J4 P06213
O60551 Q5T124
Q10567 O95628
Q96PK6 P46937
Q8WXD5 Q9H6T3
Q9Y6K9 O75529
P61964 Q9UBF6
P22314 O43581
P46940 P78527
Q9BRX5 P98179
Q86Y13 Q13615
Q05086 O00116
Q05519 Q92804
P42356 Q9Y5W9
Q6N021 Q13393
Q9HC77 O43663
Q69YN4 P12757
Q8NHQ1 O94992
O43310 Q86VM9
Q96Q15 Q15154
P02545 Q9H078
O43683 O75553
Q03933 Q9H792
Q9NZJ0 Q5T7V8
Q96SN8 Q14318
Q9P2N5 P55209
O75600 Q9UL15
Q9UBK9 P50570
P12757 Q9Y3M2
Q8IWU2 P20042
Q9Y6M9 O75771
Q8IX90 O94804
Q8IUD2 Q96E11
Q9Y4A5 Q9H081
P61978 Q8IYI6
Q13825 Q9Y2U8
P25786 P51654
P20618 Q96T76
P51617 Q8WYA0
O75400 Q13322
Q9BQI5 Q9P2R3
