P51946 P29083
Q9Y2Y6 P54709
P01106 Q7Z3K3
Q13253 Q8WVZ9
Q13887 Q12857
P01106 O60884
Q9NX58 Q9UQ35
Q9C0J9 P49715
Q99612 Q92993
Q8N680 P18583
Q3KNW5 Q5TGU0
Q8TBB6 Q16873
P16401 P62263
Q14592 Q9UBW7
Q9H2F3 P04920
Q86UK7 P56192
P62899 P05388
P62847 Q14241
Q96GC6 Q8TCC3
Q75WM6 Q14197
Q86UK7 Q13127
P37275 P49411
Q8N8E2 Q9NTW7
Q9GZR7 Q9H8H2
Q9Y6H6 Q96EC8
Q9NRE2 Q9UI09
O95365 Q96EB6
P62072 Q8TAX7
P10176 O75306
Q3B8N2 Q5SRE7
Q9Y258 O95715
O95199 P63279
Q96CT2 Q8WVZ9
O95786 Q9H2U1
P05388 Q9BRJ6
P62847 P23396
P37108 P57071
Q96C28 Q9Y3D5
Q9H2K0 P56556
Q8N6T7 O43524
Q8NBW4 O75947
P62805 Q6SPF0
Q9BS26 P49005
Q9H0U6 Q8WVZ9
Q14296 Q09161
P19961 P01100
P55317 Q9BUJ2
Q9HBJ0 Q9NXR8
Q9BUQ8 Q7L014
Q9NZ42 Q49MG5
O95182 O96000
P01106 P23396
Q9HCE5 P63241
Q3KNW5 Q6ZSS7
Q9H0G5 O43290
Q9UL40 O95625
O95786 Q9P0M9
P46013 Q5T5X7
Q9UKX7 P18583
Q8N5A5 Q9BUQ8
Q9P0M9 Q8TCC3
Q9H2K0 Q9Y3D3
Q12905 P61313
P49450 Q13129
Q92905 Q8N114
Q13520 Q8N5I4
P01308 P46782
P37108 Q96ME7
Q9Y2T7 Q6P158
Q9HB58 Q712K3
Q9Y320 Q96EC8
Q9H2K0 Q96EY8
Q8IWL3 Q9ULX6
Q9H0R8 Q04837
Q9GZR5 O95183
Q9NWH2 Q99437
Q5JUK2 O94761
Q9H7F0 Q96AA3
Q16763 O00762
P61513 O00566
P61313 P62854
Q96N21 A6NI15
P41595 P16152
P55073 P35610
Q9UFB7 Q96MX3
Q96EB6 Q14526
Q9NZC7 P22234
O14880 Q9H0U6
P25490 P39019
Q9Y2A9 Q9BVG9
P05388 Q9NUD5
Q96BK5 P54274
Q9UBS3 O75947
O94761 O60832
Q5VVX9 P01042
Q9Y3D5 Q8WUD4
Q9Y3I1 P63208
O95786 Q9UIF9
O60220 Q9UDV7
P62424 Q9NVP1
Q96HQ2 Q96JM3
Q9GZR5 Q9H2F3
P35268 P62888
P62805 Q8NDX5
P16401 O95922
O75381 P50991
Q9UBL3 P85037
P35244 Q9BUJ2
P10244 Q8WUU5
Q6R327 O95785
P62424 P62847
P78364 Q9UN30
O94761 O00303
O95715 O00399
Q9NRC8 Q96EB6
Q9BUQ8 Q99814
A0PK11 Q9UHW9
Q9NRC8 Q14202
P10242 P17542
Q6ZN55 Q9NXV6
Q12952 Q9ULD9
Q9Y2A9 Q8NEW0
Q9NPI1 Q9NY93
O60885 Q9H8H0
P34969 P78347
O00398 Q9H7F0
P01100 Q9UBL3
Q9UIH9 Q99856
P50539 O60216
Q9P0M9 Q9BQC6
Q8IWL3 Q9NP92
Q8IWL3 P30519
O15218 Q969V3
Q6ZN17 Q9NX24
Q5JX71 O75379
Q9HCE5 P42166
Q92785 Q9NZB2
Q8TED1 Q96JF0
Q06432 O15121
Q9Y4X4 Q96EL2
P41002 Q86T24
P01189 Q5T4S7
O75683 Q6ZN55
Q9NRC8 Q92576
Q6RUI8 Q9NR09
P61073 Q03135
Q15047 Q66PJ3
Q96S59 P62750
P61247 Q96GQ7
Q6NUN9 P17987
Q9NRC8 P18583
P62805 Q9P0M6
Q5T3I0 Q5SSJ5
Q5T653 P09001
Q96IW7 Q13323
Q9BXT2 Q6N075
Q9NNZ3 Q8IZU0
P43115 Q96ER3
Q96ME7 Q6PK04
O95125 Q8WTR7
P62851 P62857
Q9NX36 P82930
Q9Y6E7 P23368
P15173 Q02363
O95600 Q69YH5
P15923 Q92841
P18621 P23396
P62899 P62266
Q14562 P18583
O75306 Q12907
Q8TBP5 Q8N1S5
P16401 P10244
Q9HCK5 Q96EB6
P58418 Q9H0R3
P39019 Q9H116
Q8N9Y4 Q9BT73
Q96C86 Q96T23
P61513 Q9BRJ6
O43257 Q32P28
P25105 Q13144
P01106 Q86YP4
Q9H8T0 Q15554
O15446 Q7Z3K3
Q9Y3S2 Q03188
P60201 O15534
P48651 P17900
Q9H9B4 O43674
Q9NRC8 P62424
Q3YBM2 Q9NP55
Q9NPI1 O60832
Q5JX71 P30519
P26373 P62888
O60885 Q92610
Q9UGM1 Q96E22
O95793 P35659
Q9HC97 Q8N6U8
Q15672 P15923
O15372 Q92905
Q9H2K0 P82912
P37840 Q9NPI6
O60885 Q2TAL8
Q9Y3S2 Q9NX58
Q15532 Q9H8M2
P15923 P18583
O95183 Q8N1S5
Q14592 Q16587
O95619 Q9H2F5
P25791 Q14919
Q9BZQ6 Q8NBS9
O75409 P54253
P62899 Q14191
P13010 O15514
Q8TDT2 Q9NV12
O95988 Q9Y3S2
Q7L2E3 O43615
A0JLT2 Q9UJX4
O14957 Q9BTC0
O95786 Q9NPE3
P43115 Q04864
Q9HCE5 Q12905
Q96MX3 P61513
Q5JX71 Q8TBB6
P49450 Q9Y2R4
Q6ZN17 Q96KR1
P46013 Q8TF68
P56556 O96000
Q9C0F0 P85037
Q9UN42 Q8TCT7
Q92794 P62805
Q14241 Q96CB8
P62266 Q8N543
Q9BQS6 Q9BUE6
P25440 O60832
Q9NPI1 Q14679
Q9UL40 Q9GZR7
Q96SF2 Q6SPF0
Q969F8 P31025
Q9BQ15 Q969M3
Q9BYV9 Q13105
Q13304 Q68E01
Q5JX71 P13987
P51608 Q16637
Q9H2S9 Q9H5V7
P62805 P46782
Q9H0W5 P78371
O94761 Q8IYL3
P55317 O15446
P54219 Q02338
Q9H7F0 Q0GE19
O15372 Q9BPU9
Q9Y3I1 Q92917
Q9Y3D5 Q8IYB8
Q13127 P39019
Q9Y5Y3 Q02338
Q9UKX7 Q15648
O15235 Q9UI09
P23769 Q92560
Q5T6F2 Q9NZF1
Q9H609 Q86T24
Q9UIH9 Q92618
P63279 Q96C00
Q8IWL3 Q9UJV9
Q9HA38 Q15633
Q99612 P08047
P42166 Q9BUJ2
P05026 P14927
P57678 Q9Y3C8
Q92508 P04155
P62263 P39019
O94817 Q9BUJ2
Q92905 P78371
P50406 Q9BXP5
Q9Y3S2 P25490
O95881 P30044
Q15326 P10242
Q96E35 Q99705
P35268 Q9UQ35
O95994 O00303
Q401N2 Q92611
O00624 Q96FL8
O94761 P35268
Q14562 Q9Y467
P15144 Q96QD8
P50406 Q9C0E2
Q14592 Q9Y3S2
Q96EL3 Q969Q0
Q12905 P62424
Q8IX18 Q8NEY8
Q9UPW5 P01100
P40429 Q6PK04
Q8NBB4 P10073
Q9H5V7 Q9C0D4
Q9BZS1 O43823
Q13520 Q8N6F1
P62805 Q96JM3
Q9UL40 Q1KMD3
Q9UBX1 P04080
Q86WC4 Q9NUQ7
Q96EL3 P09234
O14842 Q8NBI6
P43681 Q8N5Y8
O75683 Q49A26
Q12906 P61313
Q7Z7K2 Q6IQ21
Q9H2P0 O60281
P61247 Q9BV94
P54132 P01106
Q9UGI8 Q8IY21
Q9UJX4 P14635
Q9Y2T7 Q9NVP1
Q5T653 Q8IYB8
Q99459 P62495
Q15022 O94880
Q12906 Q04941
P13667 P30040
Q17RP2 Q7Z4V5
P02724 O60281
Q9ULD4 Q9P281
Q06432 Q8N6M3
P35244 Q9H2U1
Q66K89 Q9H116
O75593 Q9NXE4
O75940 Q12874
Q9Y3S2 P54132
Q7L2E3 Q96EL2
Q13887 P0C7T5
P63241 P62750
Q04837 Q9BYD6
P01106 Q14865
P04844 Q86SG7
P61073 Q9GZM5
Q96LC9 Q99081
O14958 Q9NQV6
P41597 Q8N4V2
Q96MF4 Q6DKI1
P53567 Q6EEV4
O95786 O00175
O75569 Q9H7E9
P62424 O00566
Q6ZSB9 Q9BQA5
P39019 P63220
Q9NX58 P63220
Q96JM3 Q8IWI9
P10176 Q9BX68
Q9Y2G8 P49069
P39210 Q9UI09
P01106 O60885
Q9NR55 Q9Y4E5
Q9UL63 Q96E35
Q99598 Q15544
P01106 Q9H1Y0
Q9H1C4 Q8TCT9
P13667 Q14554
Q9ULX9 Q14494
O94761 P61313
P18850 P25490
Q96K58 Q5VYS8
Q9Y284 Q9BTX3
Q8IY34 Q9UBS4
P61081 P55786
O43257 O95619
O95563 Q01658
Q16581 P03928
Q5VUG0 Q86V15
O15218 Q6TCH7
P47914 P62266
P14854 Q9Y2Q3
O75569 Q9NWT8
Q96EL3 Q8TCC3
Q14145 Q9BTE3
O94761 Q9BS26
Q13304 P52569
O95793 Q9NYU2
Q9Y3E2 Q9H9B4
O60885 P61247
P28698 Q15697
Q07325 O14625
Q96S59 P62699
Q7Z7K2 Q9Y3D5
Q9Y6H6 P19634
Q96JM7 P37840
Q8TCC3 Q969Q0
Q8NCK7 Q92665
Q03135 P04920
P61247 Q99757
O60885 Q9HCE3
O00422 Q9BU76
Q969I3 P10809
Q1KMD3 Q9NXV6
Q9UGM1 Q9Y6M5
P49184 Q14697
Q49AN0 Q05639
O75112 P31629
P14416 P29274
Q92845 P21675
P35414 Q96SK2
O75475 O00422
P18621 P09001
P52434 Q9BUE0
P62805 P40429
Q9NS75 Q96EC8
P40692 Q9BV40
Q5T2D3 Q8WVZ9
Q9H2C0 P26373
O95251 Q9H211
P04844 P30519
P10070 Q13485
Q9NUH8 Q96HH6
Q969Q0 Q9UPY3
Q9BWH2 P47929
Q6IAA8 Q9BV40
Q9H1C4 Q9HD45
P43115 Q96E22
Q02577 Q14469
Q96N64 Q15022
A0JLT2 Q9BUE0
P23769 Q68CP9
P62805 Q4W5G0
P23560 Q8NCS7
Q9H2C0 P05388
Q03135 P55786
O95786 Q8TDD1
P15382 P0CG08
Q9NPA8 Q92830
Q13887 O15235
Q9BUE0 Q9Y3C7
P19634 Q99750
Q99742 Q9Y618
Q6PJ61 P63208
Q13087 Q8TCT9
O75478 Q9Y4H4
P35372 Q96DX8
O95793 P48643
Q9NR28 Q7KZN9
Q96FW1 Q9BS26
Q8IWL3 Q96EL3
P01106 P47929
Q9NZB2 Q96MU7
Q9H0U6 Q16540
Q12906 Q9BVG9
Q92905 Q9GZZ1
Q9UBB9 Q99757
Q92905 Q7Z2T5
Q96EL3 Q9BQC6
P51636 Q8TCT9
P01106 Q8IYB8
P09669 Q16718
Q401N2 Q96EU7
P62424 Q9BRJ6
Q15562 Q86UP3
A2A3N6 Q6DKI1
O76003 Q86VK4
P62805 Q8IXM2
P62805 P18621
Q9Y3S2 Q9UPP1
Q9ULM3 P54259
Q86VZ1 P04920
O15218 Q9H1C4
O95600 Q9NY12
O95994 P35268
P55317 Q9NPE3
Q9UJV9 Q08211
Q9Y468 Q9Y467
Q08050 P08047
Q7RTP6 Q9Y6J9
Q8TF50 Q99633
Q8IVM8 Q6NUT3
P04844 Q9HBM0
Q13951 Q9Y221
Q8NBI6 Q96ER3
Q86UK7 P40227
P63279 Q9UQ84
O94772 Q8WWI5
Q8IV31 O75396
Q06136 O43676
Q15047 P43234
O00526 Q9H7F0
P25105 O15321
O14867 P63208
Q9C0C9 P50539
P61247 Q8N567
Q3KNW5 O95562
Q92905 O75643
P26373 Q8TCC3
Q4KMQ1 Q2TAL8
P17022 Q9NWS9
O94817 Q9H2U1
Q96IW7 Q8N5K1
Q99742 Q8TCN5
P30556 P54707
Q9GZR5 Q13323
Q8IY34 P45880
Q9NX04 O96006
Q9NWT8 O75306
Q13887 Q15596
P15144 Q04656
O15062 O95365
A8MW92 P54259
O94761 Q92841
Q9NWT8 P40429
Q9NPC1 O15354
O15446 Q6EEV4
Q9Y3E0 P17568
Q8TDD1 P39019
P38919 Q8N653
O15444 O43927
P62805 Q9UKX7
O75061 P09622
Q7Z2E3 Q9HAF1
P62851 P62701
Q9UBW7 Q9UKT9
O00585 P51685
Q8N8K9 Q8N8B7
Q53TN4 Q96IW7
P53384 Q04656
Q96KC8 P49069
Q7Z7N9 Q6N075
P63173 P40429
Q9H1C4 P56192
O75569 Q9UL40
Q8TBB6 Q9UPQ8
P50991 Q99832
O95994 P61313
P24385 P50990
Q9NR77 Q9H3N1
Q14CW9 Q16514
O95786 O60315
Q7Z3H4 Q96NU1
Q6NUN9 Q9NZB2
P40429 P61513
P49184 P13667
O95169 Q9NR50
Q96HE9 O95793
O94761 Q9BVW5
Q96HE9 Q7L2E3
Q9UL40 P17010
Q12906 P62424
Q01469 P61604
Q9C002 Q9H4A6
P42166 Q9UBS4
Q8TCC3 Q9BQC6
Q9NX58 Q6PK04
P39019 Q6PK04
P01106 Q8WUU5
O95994 Q9BS26
P35372 P51798
Q9Y2U9 P40227
Q9C002 Q86SX6
Q9BX68 Q9BYD6
Q14872 P62701
P62701 P25398
O75251 P19404
Q9H1X3 Q9Y2T7
Q9NRM2 Q9NPD8
P78563 Q5SSJ5
P22362 P61073
P01106 Q13569
Q96FF9 O15119
P78396 O00716
Q99459 Q9NQ50
P23368 Q13162
P15336 P10809
P41002 P35520
Q9BX68 Q92665
Q96LL9 P03886
Q99941 P57060
O43918 Q8N1F7
Q99742 Q9H410
P47775 Q96NT0
O60832 P40429
Q9NWS0 Q8NBS9
Q8N4W6 O43396
Q92993 Q9UL40
Q13887 P55197
P23528 Q13126
Q8N680 P07199
P05388 Q9NY93
P26373 Q8IWS0
P63279 Q8N6G5
Q9H1C4 P07858
Q7RTU1 P15923
P41002 P09669
Q9Y6A9 P35269
O75626 O60756
O75638 Q96CB8
Q02930 P15336
Q96IW7 Q9GZR5
O94761 P62424
Q13520 Q9H9B4
P54219 Q969S6
Q99612 Q16514
P08195 P16615
Q9Y3S2 Q9Y6X4
Q9NVD3 P61513
Q9UKT9 Q96BZ8
Q9UBB9 Q92993
Q9HC97 Q5BKX6
Q99684 Q13105
P62805 O15119
P62805 Q5FWF5
Q9NPI1 Q92841
O15342 Q5J8X5
P46013 Q96JP5
Q86UK7 Q9H9B4
O94761 Q9BYD6
Q92793 P41182
Q96FW1 P31939
Q9Y2Q3 Q9UNL2
Q9NR30 Q6PK04
Q13217 Q96HE7
P63279 P67870
O60885 P61086
P00403 Q16795
P25490 Q9H8E8
O95409 P10070
Q8IY92 O43290
Q2WGJ6 Q52LG2
Q99750 Q96EG3
O95169 P40692
P35268 P63220
Q9NR12 Q15942
Q9UGU0 Q86YP4
Q96NC0 Q96EB6
Q7RTS1 Q92665
Q12950 Q96C00
P15336 Q9H3N1
Q16740 P03886
Q9HCE5 P38117
P54274 Q9Y2X9
Q8NAC3 Q9BU23
P01308 P61247
P0C5Z0 O95793
P10809 O00746
P00403 P10606
A2A3N6 O43435
Q92841 P49711
P16152 Q9BTX3
Q13951 O75376
O94761 P10809
O15218 Q6P4A7
Q9H6L2 Q16739
Q9NV12 O43674
Q92905 P61296
Q8TDU6 Q9NX76
Q13520 Q96HH6
Q9H0W5 P13667
O95600 P49711
Q15942 Q9UGP4
Q8N0Z2 P0DI81
Q8WVK2 P46063
Q15428 Q12905
Q96FI4 O75569
P62899 Q9H8H2
P17028 Q96JS3
O43474 P42766
Q92905 O96005
Q5T653 Q9NRX2
Q96M98 Q71U36
Q99612 O15265
Q7Z7M8 Q7Z4Q2
O43193 Q9UI26
Q9BVI0 Q9ULM3
P47900 Q9GZM5
Q13485 P46926
P49450 Q9Y6V7
Q9UKD1 O75081
O60885 Q14241
Q96Q45 Q7RTS5
Q99750 Q96AN5
O60885 P37108
P01106 P55786
P0DPB6 Q9Y2Y1
Q9BY14 P20142
O95994 Q92841
Q03060 Q16649
O60885 Q9UI30
O15255 Q04864
Q8IWL3 Q9NVP1
Q96EY1 Q04837
P10809 Q9BYD6
Q8N680 P82650
P15144 Q13217
P35408 P30519
Q99677 Q03135
Q969R5 P78371
Q8IWL3 O95169
P51636 P04844
Q06136 Q9UI14
Q9NX58 P42766
P55197 P55198
O14842 Q96SK2
Q8NCK7 Q8WVX9
P10809 Q92665
Q9Y3S2 Q9NPI1
Q9NR30 Q13123
Q92633 Q9Y672
Q9NPI1 P62424
Q8TAE8 Q9H0U6
O94817 P26196
Q9UBK5 Q5VW36
P62266 P82912
P10242 Q5T5X7
P40227 P49327
Q9Y6B2 P62805
P01106 Q6NZY4
Q96KC8 P62888
Q9NRG1 Q3B8N2
P07858 Q96HE7
P01106 Q9Y5P6
P0C5Z0 Q92522
O43603 P25929
P56385 Q9NX36
P62899 P46013
P19532 P35244
Q75WM6 P23396
P01106 P21675
Q92858 P08195
Q9UIH9 P54132
P61513 Q6PK04
Q96MF4 O60832
P59991 Q9UK58
Q56P03 O95391
Q99750 Q14296
P0DPB6 P36954
Q92793 Q13485
Q9UPY3 Q5VVJ2
P61081 P62701
Q9Y2T7 Q9NUD5
P51170 Q9Y6X1
Q9P0M6 Q8N8A6
P61247 Q49A26
Q99750 O94817
Q8IX18 O75643
Q92905 O60884
Q9UPY3 Q9NZB2
P02778 O14625
Q9P0K8 Q96CB8
P25490 Q96NB3
Q96Q45 P01591
Q96RE7 P41182
Q9Y296 Q9NR12
P25025 P49407
P25440 Q8IX18
P01106 Q92620
Q6P1X6 O43615
Q9Y5T4 Q9UPY3
O95600 P15822
O75569 Q5SSJ5
Q8N680 Q9C0C9
O60885 Q8WXI9
Q96LY2 Q15008
Q99459 P07992
P21731 Q96B77
P37275 P62263
O95786 O75190
Q9NRH3 P40227
P42766 P82921
P51608 Q9UHI6
Q9H1C4 Q14165
Q9UN42 Q8N6G5
Q9Y2Y6 P50406
Q9Y2C3 Q9NPD7
O95994 P62424
Q9UHK0 Q16637
P61244 Q15672
P01106 Q9Y316
P53384 Q15942
O75752 P16401
P40692 P56470
O94761 P31153
A2A3N6 Q969R5
Q96FW1 P10606
Q9H2K0 Q6YN16
P04201 Q13585
Q92905 P23396
Q92905 Q9Y3I1
O95793 P50991
P62495 P05198
Q9BQS6 Q8TCN5
P14854 O75251
Q8N6L1 P04920
O75940 O75643
Q92993 P62805
P18621 P62857
Q9ULX6 Q5T749
Q8TD20 Q9UPQ8
O75556 Q8N3Y3
P18848 Q14494
Q9NR30 Q9NVU7
O60884 Q14592
Q5TGU0 P36021
P23769 Q9H582
Q14562 Q9H0G5
Q9UL40 Q9NQV6
Q96MU7 Q96L73
Q9UHI5 Q9NR77
Q9UGM1 Q8NEW0
Q9UJX6 Q8TDN4
O95786 P48643
Q6ZW61 P78371
Q13304 Q6N075
Q9NWS0 Q12906
Q6UWN0 Q9Y6Y8
Q9NQX0 Q8WWB5
P62805 Q6DKI1
O95786 P54368
P0C5Z0 Q13206
Q9Y242 O43741
O96024 Q71U36
P25490 Q04837
Q04864 Q969R5
Q13520 Q9BSR8
Q9GZQ4 Q9UHW9
Q6IAA8 Q6R327
Q92785 Q8TF01
Q8IWL3 P38117
P25090 Q9BTX3
P24385 Q96AV8
O75569 Q8TF39
O43474 Q9Y6Q9
P41227 Q6P158
O95994 P10809
P15941 Q8N2M4
P04844 Q8N4H5
Q9BSJ5 Q96DV4
O95715 P13501
P49715 Q92993
Q00403 Q13887
Q9Y2Q3 O14925
P02724 Q9NV70
Q96E52 Q9BS26
P54274 P54259
Q9BUQ8 Q12872
Q15022 Q8IXM2
P61313 P54253
Q9NY12 Q2TB18
P42166 P16615
Q92748 Q9ULM3
Q9NQX1 P35523
Q8N720 Q2TBE0
Q6UW68 P06280
P25398 P62263
Q9Y4D2 Q5J8X5
O75190 Q9NRX4
Q5JXX7 Q7RTS5
P01106 Q96EY1
Q6P1X6 Q96EL2
Q02577 Q9H0W5
Q03135 Q13126
Q04837 O95182
Q9NSC2 Q8WXI9
Q9NR30 P61513
Q15428 Q9BXP5
Q92794 O94880
O14880 O75947
Q13304 Q9NWS8
P30793 Q9NR50
Q401N2 P55011
Q8N6L1 P54707
Q9Y6K1 Q03060
P38117 Q96IK5
Q99909 Q96IT1
Q9Y2T5 Q9BSR8
A2A3N6 Q14679
P62805 P36954
Q9P0S2 B3EWG3
Q7Z4V5 Q9H2P0
Q15648 Q6EEV4
Q92905 Q6ZN17
P49450 Q8WXX5
P07737 P13667
Q96HC4 P38919
Q8NHZ7 Q13330
Q96KC8 Q9UQ35
P10176 Q9NVU7
P23396 P09001
Q9NY12 Q6PI26
Q8IYD1 Q8IX01
P49789 P61604
Q15022 Q9UKX7
Q8WYQ9 Q07075
Q9UBL3 P56597
P01160 Q9NRG4
O15446 Q6NZY4
Q7RTS1 P15923
Q9BTX3 Q5JXX7
Q9NWT8 Q6DKI1
Q96DZ7 Q9UKR5
Q96KM6 Q01831
Q8N661 Q9H2L4
Q9NX76 Q8N0V3
Q13304 Q9H7F0
Q13405 P62072
Q8N1G0 Q9GZR7
Q9BX68 Q8NC60
P62633 Q9H7E9
O15446 P21675
P25090 Q01814
Q9Y3I1 P40227
O00585 Q9Y258
A8MV65 Q15562
Q99583 P01106
Q9H4Z2 P46013
P62805 O43823
P19404 Q8N0Y2
P17568 O75438
P18621 Q9NRX2
P49069 Q5JXX7
P62899 P50440
Q9GZM5 Q9H6H4
Q9GZZ1 P41227
P55769 Q9UHK0
O75444 Q9C0C9
Q5T653 Q5SSJ5
Q8IX18 O75165
Q7L5N1 P62701
P17040 P59923
Q9Y468 Q9H1A4
P26373 P49407
P67870 P11926
P42766 Q9C0C9
Q6DKI1 Q7Z478
Q9NWS9 O75909
O95182 P63173
P49447 Q9NVC3
Q9H1C4 Q13144
Q9Y450 Q9Y3B2
P02724 Q5JXX7
O15342 P26678
P02724 P48735
P63279 Q9NSC2
P01308 Q9C002
P25090 Q96QU8
Q13404 P54253
Q9BXP5 P57678
Q96C86 O60832
Q8NBI6 Q9Y6M5
O75593 Q86T24
Q75WM6 P09001
Q9Y5J7 Q9Y5L4
Q9H244 P57678
Q9H2K0 Q9BSJ5
O15090 P16401
Q12952 Q9NXE4
Q9H2C0 P49368
P63279 Q14119
Q7KZN9 Q9NVH1
Q9NRC8 Q86XP3
O95786 O00453
Q9NPJ1 P48643
Q99523 Q9UBD9
Q9Y5T4 Q9NRX2
Q13485 A3KN83
P55316 Q9UBW7
Q8N6T7 Q96DT7
Q9H1X3 P84157
P49450 Q9H410
Q8N720 Q9NPJ8
P54277 P40692
Q9NWS8 Q15047
Q13127 Q04837
Q9BZS1 Q96EB6
P36956 Q92793
P21731 Q6N075
Q9UJW3 Q9Y692
Q7L5N1 P98177
Q5JX71 Q9UHJ9
P49184 O00391
Q04837 P13284
Q9H244 Q9H4A6
Q96EB6 Q15022
Q13323 P05090
Q9H2K0 Q9Y3D7
Q9NXB0 Q99832
Q17R98 Q8WXI9
O75911 Q9H1C7
Q9GZV8 O75081
Q15554 Q8IY37
Q8IX18 Q14241
P04053 Q8N961
Q8N4Q1 Q9C0D4
Q9BZS1 Q9UKT9
P01106 Q8TF68
Q8N680 Q16342
P01106 Q14116
Q7L2E3 Q9BYC9
P48061 O15444
P62899 Q96CS4
Q92793 Q9Y692
Q03135 Q9Y5Y0
P41002 P18621
O00716 P08047
Q15022 Q92610
P55197 P63208
Q9Y3E0 P54886
Q8IZ57 O95994
O75251 P45880
P01106 Q6ZNB6
P01106 P62701
P01106 Q32P28
Q8TDT2 Q969K7
P82979 Q9BQ15
Q9Y3B2 P18621
Q6ZN17 P46782
Q9UIG0 P35659
O60925 P39748
Q9Y3I1 Q9H9B4
P01106 O94762
O60885 Q9UHF7
Q9Y468 O14628
Q96KM6 Q9NRG4
Q9HCE5 O75396
Q9HAF1 Q8WYB5
Q9ULU4 Q8TDL5
O75381 P17987
Q9H0W5 P55011
Q9UGU0 Q7Z5J4
P62805 P52434
P30550 P25116
O15218 P35610
Q9BU76 Q9UQ35
P42166 P35610
P26373 Q7L2E3
Q92830 Q86TJ2
P49768 P63173
Q9H2F3 O75915
O00624 Q6NXT4
Q8WY98 Q14973
Q9NUH8 Q07326
A0PK11 Q9BXP2
P35268 P61513
Q12962 P49848
P55087 O43889
Q9UGP8 P42166
Q9H609 Q5T7W0
P52739 Q9H5J0
Q68CP9 Q92785
P15382 Q6P9B9
Q8NBB4 P17028
O95926 Q69YN2
Q96SF2 P36954
P29375 Q9H0E9
Q04837 Q9NP92
Q9UIH9 Q9NPI1
P10809 Q9BXT2
Q92905 O60885
P62899 Q9H2U1
Q3V5L5 Q8IVS8
O00585 O00175
Q9H2K0 Q13405
Q9BWH2 Q9NQ11
O15431 Q86UK7
O94761 Q96DE5
Q9H9B4 Q16718
O94761 Q9BTE3
Q08257 O60884
P82932 Q8IVS2
P50991 O43396
P21675 O95365
A2A3N6 P61313
O94761 Q9NWK9
Q9UJU5 Q9Y2W3
Q99726 Q58DX5
Q99523 Q8IYD8
O75937 Q15369
O94761 P49643
P62805 Q9NY93
P42766 Q6IQ21
Q92886 Q15633
O75569 P62280
P55317 Q9GZR7
P35414 Q14146
Q9Y3S2 Q14241
P24863 O60911
Q7Z7N9 Q8TDV0
O43918 O60216
Q9NRL2 P62805
P62805 Q969R5
Q08211 Q8IX01
Q9Y4X4 Q9Y2X9
Q9Y2Y4 Q8TDS5
O14842 Q9H300
P15923 P63241
Q9H832 Q13485
Q8NCK7 Q9NP92
Q96C12 Q8IVS8
O95711 Q495W5
Q01814 O75907
Q9NRG4 Q2QGD7
Q96FF9 Q9UBB5
O95786 P50991
Q9NRF9 Q96KC8
P18621 P62701
Q9NR28 Q9Y5L4
O95786 Q15942
Q96EB6 P49327
Q6ZQN7 Q96FL8
Q14973 Q9H2L4
P47900 Q15800
P63279 P37088
P62899 Q9UIF9
Q9BTC0 P18583
P46013 Q9NX58
Q71U36 P61247
P62805 Q969M3
P17861 P01100
Q8IVS2 Q9Y3D3
Q9BUJ2 Q16637
Q71U36 Q9NZL9
Q12948 Q8WXI9
Q9Y2U9 Q15369
O15218 P04844
Q8IY95 Q16775
Q01814 O95427
O00716 P14635
P18621 Q5SSJ5
Q9Y3I1 P23528
Q8WXI9 Q12830
Q15532 Q8WUB8
Q9Y4U1 P78371
O14958 Q9BYC9
Q92905 P47929
Q9H6K4 Q04837
Q9GZV8 P61244
P62805 O60832
Q9C0K0 P51946
O95786 P17010
P17861 P63279
Q3YBM2 O75556
O00746 Q86SX6
P62805 Q9UBB5
A6NM10 Q02383
Q9Y5R8 Q8N9M5
Q9UKX7 Q5VUA4
Q9UI14 Q99757
Q9Y3E0 Q9NVH1
Q969R5 Q8WUU4
P15941 Q92982
Q92830 P49848
Q13887 Q5VZL5
Q9NR77 P30519
O00303 Q92499
P46013 P49848
Q9UL40 Q8IX01
P10809 P82921
Q9C002 O95167
O75251 P16615
O95365 O15156
Q96FW1 Q99714
P62805 Q8N2Z9
Q9NUH8 P60201
O96000 P15954
P21246 Q6IB77
Q6P9B9 Q9BQ15
O60885 P31939
Q8IWL3 Q9NWS8
O60885 Q8IXK0
Q9NWT8 Q9NY93
Q96S59 P23396
O15446 Q8TF68
Q9Y4X4 Q96C00
A1A5C7 O00526
Q15022 P61247
P01106 Q5T3I0
Q8IWL3 Q9BX68
Q9NXR8 Q9UIG0
P53567 Q13887
Q8NBW4 Q6IAA8
Q16763 Q9UJX6
Q96BR9 Q13105
Q96MF4 P62424
P46013 P25490
Q9H1X3 Q9Y394
P53567 P17535
O60885 Q9BU76
Q9UL58 Q9NWS9
P43119 Q9Y6M5
P26373 Q13206
P15173 Q6QHK4
P38919 P10244
Q8NAP3 P46782
Q7Z7H8 Q9BYC9
P35414 O14880
Q969M3 Q9UNL2
Q96FI4 Q9ULD5
Q969Q0 Q96JP5
P54253 Q9P2G9
Q3KNW5 Q9HD20
Q8ND83 Q05639
Q9NW08 Q9H9Y6
P85037 P51610
O60885 Q8IX18
O15235 Q96DV4
Q99459 Q03188
